"feature","category"
"1000","seed"
"10001","cheese"
"10002","cow, cheese"
"100044","cow, shellfish"
"100112","cheese"
"100120","milk, yogurt"
"100175","herb/spice, flower"
"100241","vegetable"
"100269","grain/grass, cheese"
"100273","cheese"
"100283","cheese"
"100285","cheese"
"100302","drupe"
"100319","berry"
"10039","cheese"
"100409","cow, grain/grass, poultry"
"100529","cow"
"10055","pseudocarp"
"100561","legume"
"100575","poultry, pig"
"100624","cheese"
"100633","drupe"
"100672","cheese"
"100676","cheese"
"100694","cow"
"100696","berry"
"100726","fish_freshwater, poultry, pig"
"100727","cow"
"100747","cow, shellfish, poultry"
"100750","cow"
"100771","cow"
"100774","berry"
"10078","drupe, legume"
"100793","cow"
"100836","berry"
"100874","cow"
"100944","vegetable"
"101023","cow"
"101041","cow"
"101070","vegetable, poultry, pig"
"101082","cow"
"1011","cow, poultry, pig"
"101107","milk, pepo"
"10113","seed"
"101186","drupe_aggregate, pseudocarp, seed"
"101210","shellfish"
"10127","berry"
"101316","cheese"
"101319","cheese"
"10132","mushroom"
"101353","cheese"
"101371","cheese"
"101372","seed"
"101374","cheese"
"101404","cow"
"101430","cow, legume"
"101433","mushroom, cow"
"101434","cow, legume, poultry"
"101485","milk, cheese"
"101493","cow"
"101536","cow"
"101578","cow"
"101588","cow"
"10161","vegetable, cheese"
"101641","shellfish"
"101685","cow"
"101712","cream"
"101713","shellfish"
"101719","cheese"
"10173","cow"
"101756","cow"
"101798","legume"
"101800","cow"
"101828","herb/spice"
"10184","pome, sugarcane"
"101855","cow"
"101860","cow"
"101896","multifruit"
"101920","cow, fish_freshwater, poultry, pig, yogurt"
"101921","cow, shellfish, yogurt"
"101936","cow"
"101942","yogurt, cream"
"101961","cheese"
"101984","seed"
"102058","cheese"
"102060","vegetable"
"102101","berry"
"102112","flower"
"102114","herb/spice"
"102116","cow"
"102119","cow"
"102123","cow"
"102126","cow"
"102144","poultry, cheese"
"102155","cow"
"102166","yogurt, cheese"
"102175","poultry, cheese"
"102222","herb/spice, cow"
"102228","fish_freshwater, poultry, pig, yogurt"
"102229","cow, shellfish, poultry"
"10226","berry, seed"
"10229","yogurt"
"102299","cheese"
"102310","cow"
"102353","fish_freshwater"
"102377","cow, fish_freshwater, poultry"
"102382","cow"
"10240","pome, multifruit, sugarcane"
"102407","vegetable"
"102409","vegetable"
"102435","cow, fish_freshwater, poultry"
"102467","poultry"
"102525","cow"
"102527","cow"
"102544","cow"
"102545","poultry"
"102623","cow"
"102625","cheese"
"102627","cheese"
"102636","cow"
"102653","cow"
"102672","cheese"
"102677","cheese"
"102683","berry, drupe, pepo"
"102712","herb/spice, seed"
"102722","cheese"
"102723","cheese"
"102736","flower"
"102769","shellfish, cheese"
"102776","milk, cheese"
"102810","fish_freshwater, poultry"
"102824","cheese"
"102837","pseudocarp"
"102902","herb/spice, seed"
"102904","drupe_aggregate"
"102909","herb/spice"
"10291","cheese"
"102951","herb/spice, drupe_aggregate"
"102988","herb/spice, multifruit"
"102991","herb/spice"
"103004","yogurt, cheese"
"103012","cow"
"103030","shellfish, cream"
"103070","cow"
"103105","fish_freshwater"
"103147","herb/spice"
"1032","sugarcane, milk, yogurt"
"103228","berry, legume"
"103239","cow"
"103244","cow"
"103256","legume, cream"
"103266","cheese"
"103268","cheese"
"103298","fish_freshwater, shellfish"
"103323","cow"
"103342","cheese"
"103401","herb/spice"
"103434","berry"
"103456","herb/spice, pseudocarp"
"103483","herb/spice"
"103594","berry"
"103597","cow"
"10365","cow"
"103654","milk"
"103679","cheese"
"10369","pome, drupe_aggregate"
"103722","cheese"
"103725","cheese"
"103727","cheese"
"103760","cow, fish_freshwater, poultry"
"10378","drupe_aggregate, pseudocarp"
"10381","flower, pseudocarp, sugarcane"
"103920","herb/spice"
"103950","yogurt, cheese"
"103974","pig"
"104010","cow"
"104042","herb/spice"
"104044","butter"
"10409","berry"
"104094","cheese"
"104104","cow, poultry"
"104110","berry"
"104234","cow, cheese"
"104253","pig, cheese"
"104261","shellfish"
"104276","berry"
"104287","cow"
"104295","shellfish, poultry, pig"
"104317","herb/spice"
"104325","herb/spice"
"104330","shellfish"
"104346","cow, cheese"
"104351","cow, cheese"
"10437","cheese"
"104450","fish_freshwater, shellfish, pig"
"104472","drupe_aggregate, multifruit"
"1045","drupe"
"104535","shellfish"
"104539","shellfish"
"10455","berry, seed"
"104571","berry"
"104616","flower"
"10462","berry, drupe_aggregate"
"104657","cheese"
"104658","cheese"
"104699","herb/spice"
"10471","cheese"
"10474","pome, herb/spice"
"104779","drupe_aggregate, pseudocarp, multifruit"
"104785","legume"
"104790","cow"
"104805","cow"
"104858","berry"
"104893","grain/grass"
"104930","herb/spice"
"104940","fish_freshwater"
"104945","fish_freshwater, poultry, pig"
"104954","fish_freshwater"
"105062","cheese"
"105072","cow"
"105075","yogurt, cream, cheese"
"105076","grain/grass, fish_freshwater, cream"
"105080","drupe, legume"
"105085","vegetable"
"105141","berry"
"105207","cow, shellfish"
"105220","milk, cheese"
"105232","cow"
"105233","flower"
"105257","drupe"
"105264","berry"
"10527","berry, multifruit"
"105293","cow"
"105307","herb/spice, drupe"
"105364","drupe, legume"
"105365","fish_freshwater, poultry, pig"
"105373","berry, drupe_aggregate, drupe"
"105392","cow"
"10540","cow"
"105441","berry"
"105443","drupe"
"105543","cream"
"105643","yogurt, cheese"
"105647","mushroom, herb/spice"
"105691","cow, poultry"
"105696","cow, shellfish"
"10571","cow"
"105721","cow"
"105727","herb/spice, flower"
"105763","berry, drupe"
"105770","herb/spice"
"105778","cow, cheese"
"105780","berry, drupe_aggregate, drupe"
"105804","shellfish"
"105826","pig"
"105833","milk, cream, cheese"
"105858","berry, drupe"
"1059","fish_freshwater, egg_poultry, poultry"
"105902","cow, cheese"
"105909","herb/spice"
"105941","cheese"
"105957","berry, drupe"
"105993","cow"
"106009","cheese"
"106022","berry, flower"
"106077","drupe"
"106078","drupe"
"10609","pome, drupe_aggregate"
"106119","berry"
"106163","cheese"
"106199","pome, drupe_aggregate"
"106205","cheese"
"106226","fish_freshwater, poultry"
"106238","cow"
"106256","milk, yogurt, cheese"
"106271","vegetable"
"106293","cow"
