Feature,category
11671,fruit
116796,vegetable/herb
116873,animal
116876,animal
116955,animal
116996,vegetable/herb
117006,animal
11707,fruit
117213,animal
117344,vegetable/herb
117382,fruit
117419,vegetable/herb
11744,fruit
117553,vegetable/herb
117752,animal
117837,vegetable/herb
117859,vegetable/herb
11786,vegetable/herb
117864,animal
117875,vegetable/herb
117906,animal
117922,animal
11800,fruit
118031,animal
118114,vegetable/herb
118117,vegetable/herb
118151,vegetable/herb
118178,vegetable/herb
118192,fruit
118209,vegetable/herb
118340,animal
118383,animal
11839,fruit
118524,vegetable/herb
118538,animal
118619,animal
118651,vegetable/herb
118760,vegetable/herb
11887,fruit
118991,animal
119207,fruit
11921,fruit
11922,animal
119257,vegetable/herb
119267,animal
119294,animal
119296,vegetable/herb
119298,fruit
119393,animal
119451,vegetable/herb
119477,vegetable/herb
119489,vegetable/herb
119505,animal
119516,vegetable/herb
119567,animal
119611,vegetable/herb
119631,vegetable/herb
119695,animal
119696,animal
119707,animal
119753,animal
119762,fruit
119901,vegetable/herb
119964,animal
119997,animal
120005,animal
120109,vegetable/herb
120181,vegetable/herb
120216,animal
120225,vegetable/herb
120322,animal
120324,animal
120358,animal
120383,animal
120409,vegetable/herb
120440,animal
120460,animal
120465,vegetable/herb
120597,animal
120628,vegetable/herb
120648,animal
120674,animal
120681,animal
120809,animal
120816,animal
120866,vegetable/herb
120879,animal
120942,vegetable/herb
121048,fruit
121050,vegetable/herb
121051,vegetable/herb
121087,vegetable/herb
121104,vegetable/herb
121128,vegetable/herb
121155,animal
121295,animal
121324,vegetable/herb
121370,vegetable/herb
121517,vegetable/herb
12161,vegetable/herb
121678,vegetable/herb
12186,fruit
12188,animal
121880,fruit
121906,animal
12191,animal
122072,animal
122105,animal
122106,animal
122107,vegetable/herb
122109,vegetable/herb
122200,animal
122284,vegetable/herb
122295,animal
122368,vegetable/herb
122466,vegetable/herb
122483,animal
122515,animal
122517,vegetable/herb
122563,animal
122603,animal
122710,vegetable/herb
122755,vegetable/herb
122757,animal
122758,animal
122809,animal
122851,animal
12293,vegetable/herb
122944,animal
123182,animal
123220,vegetable/herb
12323,fruit
123248,animal
123339,vegetable/herb
123351,vegetable/herb
123404,vegetable/herb
123414,animal
123440,vegetable/herb
123743,animal
123748,animal
123755,vegetable/herb
123853,animal
123939,vegetable/herb
123967,animal
123996,animal
124093,animal
124119,vegetable/herb
124356,vegetable/herb
124412,vegetable/herb
124475,vegetable/herb
124606,vegetable/herb
124843,vegetable/herb
124924,animal
124928,vegetable/herb
124971,vegetable/herb
12505,fruit
12507,animal
125082,vegetable/herb
125104,vegetable/herb
125109,animal
125174,animal
125444,animal
125454,fruit
125574,vegetable/herb
125632,vegetable/herb
125636,vegetable/herb
12571,fruit
125725,vegetable/herb
125728,vegetable/herb
125778,animal
12584,animal
125905,vegetable/herb
125950,vegetable/herb
126012,animal
126090,animal
126093,vegetable/herb
126142,animal
12615,animal
126220,animal
126248,vegetable/herb
126309,animal
126314,vegetable/herb
126355,animal
126378,animal
126381,animal
126383,animal
126426,animal
12646,vegetable/herb
126463,animal
126468,animal
126517,animal
126578,animal
126660,vegetable/herb
126790,vegetable/herb
126843,animal
126873,vegetable/herb
126941,vegetable/herb
12699,fruit
12700,fruit
1271,animal
127133,vegetable/herb
12719,fruit
127248,animal
12736,fruit
127365,vegetable/herb
127367,vegetable/herb
127389,vegetable/herb
127406,animal
12741,animal
127504,fruit
12752,animal
127531,vegetable/herb
127543,vegetable/herb
127580,vegetable/herb
127827,vegetable/herb
127838,vegetable/herb
128048,vegetable/herb
128069,vegetable/herb
128161,vegetable/herb
12822,fruit
128297,vegetable/herb
128305,vegetable/herb
128354,vegetable/herb
128373,vegetable/herb
128486,vegetable/herb
128519,vegetable/herb
128522,vegetable/herb
12860,animal
128634,vegetable/herb
128635,vegetable/herb
128651,animal
128714,vegetable/herb
128718,vegetable/herb
128758,animal
128796,vegetable/herb
128861,vegetable/herb
12887,animal
128908,animal
128985,vegetable/herb
128995,vegetable/herb
12900,animal
129222,animal
129292,vegetable/herb
129334,vegetable/herb
129363,animal
129366,animal
129459,vegetable/herb
129561,vegetable/herb
12958,animal
129590,animal
12960,animal
12962,vegetable/herb
129686,vegetable/herb
129767,vegetable/herb
129875,vegetable/herb
129908,vegetable/herb
129949,vegetable/herb
129956,vegetable/herb
130081,vegetable/herb
130229,vegetable/herb
13025,fruit
130341,vegetable/herb
130362,animal
130426,vegetable/herb
13045,animal
130458,animal
13050,animal
130613,vegetable/herb
13071,fruit
130740,vegetable/herb
130778,vegetable/herb
130889,vegetable/herb
130906,vegetable/herb
131,animal
131025,vegetable/herb
13105,fruit
131120,animal
131365,vegetable/herb
131383,vegetable/herb
131403,vegetable/herb
131407,vegetable/herb
131430,animal
131431,animal
13148,fruit
131483,vegetable/herb
131528,animal
131570,vegetable/herb
131710,vegetable/herb
13173,animal
131731,vegetable/herb
131765,fruit
13180,animal
13182,animal
13187,animal
131917,vegetable/herb
132055,animal
132128,vegetable/herb
132188,vegetable/herb
132257,vegetable/herb
132327,animal
132328,animal
132351,vegetable/herb
132392,animal
132418,vegetable/herb
132427,animal
132461,animal
132485,animal
132501,vegetable/herb
13266,fruit
132776,vegetable/herb
132970,vegetable/herb
133029,animal
133058,vegetable/herb
133124,fruit
133145,animal
133160,vegetable/herb
13328,animal
13331,fruit
13333,vegetable/herb
133364,animal
133390,animal
133441,vegetable/herb
133467,vegetable/herb
133559,animal
133635,vegetable/herb
133759,vegetable/herb
133795,vegetable/herb
133820,animal
133826,vegetable/herb
1341,fruit
134256,fruit
134261,animal
134290,vegetable/herb
134322,animal
134338,animal
134386,animal
134465,vegetable/herb
134630,vegetable/herb
134653,vegetable/herb
134655,vegetable/herb
134948,fruit
135040,fruit
13522,animal
135316,vegetable/herb
13532,fruit
135326,vegetable/herb
135347,animal
135372,fruit
135419,fruit
13548,fruit
135494,vegetable/herb
135617,vegetable/herb
135747,fruit
135754,vegetable/herb
135781,animal
135896,animal
13597,animal
136008,animal
136159,vegetable/herb
136174,animal
13619,animal
136205,animal
136233,vegetable/herb
13633,animal
136345,vegetable/herb
136388,vegetable/herb
136426,animal
136440,animal
13648,fruit
136519,animal
136556,vegetable/herb
136600,vegetable/herb
13662,animal
136651,vegetable/herb
136715,vegetable/herb
136718,vegetable/herb
136787,vegetable/herb
13679,fruit
136792,vegetable/herb
136811,vegetable/herb
136851,vegetable/herb
1370,fruit
137042,animal
137123,animal
137160,animal
137165,animal
137204,vegetable/herb
137241,vegetable/herb
137347,animal
13743,animal
13745,animal
137460,vegetable/herb
137485,vegetable/herb
137503,vegetable/herb
137595,vegetable/herb
137635,vegetable/herb
137671,vegetable/herb
137681,animal
137743,vegetable/herb
1378,fruit
137830,vegetable/herb
13788,animal
1379,fruit
137973,vegetable/herb
138001,fruit
13808,fruit
138105,vegetable/herb
138112,fruit
138114,vegetable/herb
13825,fruit
138385,animal
138416,vegetable/herb
138470,animal
13848,animal
138483,animal
138613,vegetable/herb
13866,fruit
13869,animal
138858,vegetable/herb
13889,fruit
138955,vegetable/herb
138995,vegetable/herb
13909,vegetable/herb
139379,vegetable/herb
139382,vegetable/herb
13939,animal
13952,fruit
139605,animal
139716,animal
139768,animal
139784,animal
139785,animal
139833,animal
139890,animal
139931,animal
139962,animal
140005,vegetable/herb
140017,animal
140061,animal
140103,vegetable/herb
140129,animal
140209,vegetable/herb
140470,vegetable/herb
140512,vegetable/herb
140521,vegetable/herb
140612,vegetable/herb
14065,fruit
14074,fruit
140791,animal
140928,vegetable/herb
140977,animal
141022,fruit
141049,vegetable/herb
141091,vegetable/herb
14118,fruit
141265,vegetable/herb
141329,vegetable/herb
141343,animal
141486,vegetable/herb
141487,vegetable/herb
14153,animal
141586,animal
141597,vegetable/herb
141840,animal
141843,vegetable/herb
141877,animal
1419,fruit
141995,animal
14203,animal
142045,animal
142048,vegetable/herb
142128,vegetable/herb
142133,vegetable/herb
142148,animal
142158,animal
142211,animal
142253,animal
142328,animal
142418,vegetable/herb
142419,vegetable/herb
142431,animal
142469,vegetable/herb
142470,vegetable/herb
142532,vegetable/herb
1426,animal
142612,vegetable/herb
142626,animal
