"feature","category"
"104455","walnut, cauliflower, bean, anise, cardamom, Spenach"
"104485","tomato, pepper, anise, ginger, oregano"
"104552","betel nut"
"104564","celery, grape_fermented, peanut, anise, olive, cardamom, bay leaf, legume, oregano, avocado"
"104597","cardamom, bay leaf, ginger, oregano"
"104616","walnut, cilantro, cauliflower, grape_fermented, olive, cardamom, Spenach, lavender"
"104648","blueberry, cilantro"
"104657","cheddar cheese"
"104658","cheddar cheese"
"104668","Tilapia"
"10471","cheddar cheese"
"104714","yogurt_cow, cheddar cheese"
"104736","watercress"
"104772","walnut, grape_fermented, peanut, lentil, anise, olive, bay leaf, oregano, poppy seed"
"104785","pea, cauliflower, grape_fermented, bean, cardamom, bay leaf, legume, Spenach, oregano"
"104787","poppy seed, dill flower, mushroom plant, cloves"
"104805","beef"
"104859","beef"
"104884","beef, basil"
"104940","salmon"
"104945","Tilapia, chicken, pig, veal"
"104948","potato"
"104954","salmon"
"1050","walnut, pine nut, turmeric, anise, ginger, cocoa seed, banana, avocado, eggplant"
"105033","radish greens, sesame"
"105047","pepper, peanut"
"105072","beef"
"105075","yogurt_cow, cream, cheddar cheese"
"105141","sage, blueberry, walnut, grape_fermented, oregano, apricot"
"105151","sesame"
"105214","walnut, pine nut, turmeric, grape_fermented, bay leaf, oregano, borage flower, cannabis leaf, borage leaf, marjoram"
"105220","milk_cow, cheddar cheese"
"105257","blueberry, walnut, mango, anise, bay leaf, oregano, avocado, apricot, lavender, ground cherry, guava"
"105265","broccoli, betel nut leaf, walnut, pine nut, grape_fermented, peanut, lentil, anise, olive, bay leaf, spice, legume, Spenach"
"105293","beef"
"105364","blueberry, raspberry, mango, lentil, anise, bay leaf, avocado, apricot, guava"
"105368","beef, cloves"
"105373","blueberry, raspberry, mango, grape_fermented, anise, bay leaf, cranberry, avocado, apricot"
"105388","grain_fermented, cocoa seed, parsley, chive blossom"
"105392","beef, radish greens"
"105498","arugula"
"105531","beef, sugarcane, dill"
"105541","walnut, turmeric, grape_fermented, lentil, anise, olive, cardamom, bay leaf, butter, Spenach, oregano"
"105543","cream"
"105546","walnut, pine nut, turmeric, grape_fermented, lentil, olive, pig"
"105593","lettuce"
"105643","yogurt_cow, cheddar cheese"
"105648","trout"
"105691","beef, trout, chicken"
"105696","beef, milk_cow, shrimp, wheat"
"105703","walnut, pine nut, grape_fermented, peanut, lentil, anise, olive, cardamom, bay leaf, ginger, avocado"
"10571","beef, veal"
"105763","blueberry, raspberry, mango, anise, bay leaf, cranberry, avocado, apricot, guava"
"105770","sage, cardamom, ginger, oregano, dill flower, dill"
"105813","grape_fermented, anise, oregano, guava, lemon balm"
"105833","milk_cow, cream, cheddar cheese"
"105902","beef, cheddar cheese"
"105912","bean"
"105941","cheddar cheese"
"105957","blueberry, raspberry, mango, anise, bay leaf, cranberry, avocado, apricot, guava"
"106006","broccoli, grape_fermented, anise"
"106009","cheddar cheese"
"106205","cheddar cheese"
"106219","cucumber, Tilapia, mushroom plant, chive blossom"
"106234","walnut, pine nut, turmeric, grape_fermented, legume, pig"
"106238","beef"
"106256","milk_cow, yogurt_cow, cheddar cheese"
"106293","beef"
"106295","beef, milk_cow, chicken"
"106308","cheddar cheese"
"106384","beef, trout, lavender"
"10639","broccoli, cocoa seed, oregano, borage flower, lemon balm, watercress"
"106452","shrimp, cheddar cheese"
"1065","sweet potato, carrot, milk_cow, yogurt_cow, banana, apricot, milk_goat, ground cherry, guava"
"106528","trout, milk_cow, wheat, chard, cream"
"106563","anise, olive, cardamom, legume, butter, Spenach, oregano"
"106601","mushroom, shrimp, salmon, chicken, pig"
"106659","borage leaf, cheddar cheese"
"10680","garlic, grape_fermented, bean, peanut, anise, cardamom, spice, cocoa seed, oregano, garlic powder, banana, betel nut"
"106808","cheddar cheese"
"106815","sage, walnut, grape_fermented, bean, lentil, bay leaf, oregano, lavender"
"106894","cilantro, grain_fermented, potato, kale, chive blossom"
"106898","beef"
"106899","Tilapia"
"106902","shrimp, salmon, chicken"
"107005","chicken, pig"
"107008","yogurt_cow, cream, cheddar cheese"
"107022","beef"
"107045","carrot, sage, walnut, grape_fermented, bay leaf, oregano, lavender, mint, dill flower, lemon balm, cloves"
"107074","beef"
"107124","beef, Tilapia, chicken, eggplant, fennel"
"107143","arugula, squash blossom"
"107165","turmeric, lentil, anise, olive, cardamom, bay leaf, legume"
"107169","beef"
"107183","yogurt_cow, cheddar cheese"
"107201","beef"
"107263","onion, walnut, turmeric, olive, cardamom, bay leaf, ginger, lavender"
"107269","sage, strawberry, rosemary, olive, cardamom, bay leaf, oregano, lavender, marjoram"
"1073","beef, trout, salmon, chicken, pig"
"107343","cheddar cheese"
"107375","cocoa seed"
