"Feature","category","Method"
"17051","Chicken and potato soup","Top20_VIP_High"
"17066","Schar bread","Top20_VIP_High"
"17141","Cod with boiled rice and tomato sauce","Top20_VIP_High"
"1737","Cod from fish and chips from L14/D14","Top20_VIP_High"
"174","Chicken and rice soup","Top20_VIP_High"
"17421","Beef meatballs with spaghetti and tomato sauce, Cod with boiled rice and tomato sauce","Top20_VIP_High"
"17661","Chicken and potato soup","Top20_VIP_High"
"17668","Flour, Schar bread","Top20_VIP_High"
"17760","Cheddar Cheese","Top20_VIP_High"
"18017","Pinapple juice","Top20_VIP_High"
"18028","Honey flakes and whole milk, Milk (semi skimmed), Milk (whole)","Top20_VIP_High"
"1829","Schar bread","Top20_VIP_High"
"18292","Vitamin adults","Top20_VIP_High"
"18311","Orange juice","Top20_VIP_High"
"18336","Beef meatballs with spaghetti and tomato sauce","Top20_VIP_High"
"1835","Chicken, Tuna","Top20_VIP_High"
"18431","Macaroni Cheese","Top20_VIP_High"
"18571","Rice pops and whole milk","Top20_VIP_High"
"18742","Salmon with mashed potatoes and cheese sauce","Top20_VIP_High"
"18883","Milk (skimmed)","Top20_VIP_High"
"18925","Apple juice, Cheddar Cheese","Top20_VIP_High"
"19076","Apple juice","Top20_VIP_High"
"19085","Tomato","Top20_VIP_High"
"19120","Warburtons bread","Top20_VIP_High"
"19233","Cheese and potato bake","Top20_VIP_High"
"19358","Beef meatballs with spaghetti and tomato sauce","Top20_VIP_High"
"19379","Milk (semi skimmed)","Top20_VIP_High"
"194","Egg, Sandwich with egg-butter","Top20_VIP_High"
"19451","Beef meatballs with spaghetti and tomato sauce","Top20_VIP_High"
"19457","Chicken and potato soup","Top20_VIP_High"
"19593","butter","Top20_VIP_High"
"1973","Beef meatballs with spaghetti and tomato sauce","Top20_VIP_High"
"19761","Cheese and potato bake","Top20_VIP_High"
"19778","Milk (semi skimmed)","Top20_VIP_High"
"19842","Apple juice","Top20_VIP_High"
"19982","Milk (semi skimmed)","Top20_VIP_High"
"19997","Sandwich with egg-butter","Top20_VIP_High"
"201","Sandwich with chicken-cream cheese","Top20_VIP_High"
"20100","Milk (semi skimmed)","Top20_VIP_High"
"20360","Apple juice","Top20_VIP_High"
"20390","Apple juice","Top20_VIP_High"
"2041","Sandwich with Tuna Mayo","Top20_VIP_High"
"20473","Pinapple juice","Top20_VIP_High"
"20641","Pizza with chicken & 1/2 portion tomato dip sauce","Top20_VIP_High"
"20737","Warburtons bread","Top20_VIP_High"
"20802","Chicken Nuggets from L15/D15","Top20_VIP_High"
"20970","Sandwich with egg-butter","Top20_VIP_High"
"21052","Orange juice","Top20_VIP_High"
"21076","Apple juice","Top20_VIP_High"
"21129","Sandwich with chicken-cream cheese","Top20_VIP_High"
"21233","Milk (skimmed)","Top20_VIP_High"
"2124","butter, Chicken","Top20_VIP_High"
"21246","Milk (skimmed)","Top20_VIP_High"
"21255","Cheddar Cheese","Top20_VIP_High"
"21281","Cheddar Cheese","Top20_VIP_High"
"213","Macaroni Cheese","Top20_VIP_High"
"21421","Tomato","Top20_VIP_High"
"21433","Cheese and potato bake","Top20_VIP_High"
"21465","Beef meatballs with spaghetti and tomato sauce","Top20_VIP_High"
"21468","Apple juice","Top20_VIP_High"
"2148","Chicken","Top20_VIP_High"
"21570","butter","Top20_VIP_High"
"21575","Milk (skimmed)","Top20_VIP_High"
"21590","Cheddar Cheese","Top20_VIP_High"
"21761","Apple juice, Cheddar Cheese","Top20_VIP_High"
"22013","Cucumber","Top20_VIP_High"
"22041","Fish & Chips","Top20_VIP_High"
"22070","Custard cream (based on ice cream)","Top20_VIP_High"
"22124","Cucumber","Top20_VIP_High"
"22190","Flour","Top20_VIP_High"
"22361","Cheddar Cheese","Top20_VIP_High"
"22403","butter","Top20_VIP_High"
"22490","butter, Cream cheese","Top20_VIP_High"
"2252","Chicken and potato soup","Top20_VIP_High"
"2255","butter, Chicken","Top20_VIP_High"
"22557","Chicken with boiled rice and tomato sauce, Chicken Nuggets from L15/D15","Top20_VIP_High"
"22600","Pinapple juice","Top20_VIP_High"
"22609","Lasagne with beef mince and cheese sauce, Chicken stuffed with cheddar cheese-roasted potatoes and tomato sauce","Top20_VIP_High"
"2261","Chicken","Top20_VIP_High"
"22919","Cheddar Cheese","Top20_VIP_High"
"2304","Chicken with boiled potatoes and tomato sauce","Top20_VIP_High"
"2316","Sandwich with Tuna Mayo","Top20_VIP_High"
"23431","Chicken with boiled potatoes and tomato sauce, Chicken and potato soup","Top20_VIP_High"
"2346","Vitamin kids","Top20_VIP_High"
"23488","Sandwich with egg-butter","Top20_VIP_High"
"23521","Vitamin kids","Top20_VIP_High"
"23640","Orange juice","Top20_VIP_High"
"23694","Pinapple juice","Top20_VIP_High"
"23816","Apple juice","Top20_VIP_High"
"23859","Cheddar Cheese","Top20_VIP_High"
"23860","Cheddar Cheese","Top20_VIP_High"
"23866","Milk (semi skimmed)","Top20_VIP_High"
"239","Sandwich with egg-butter","Top20_VIP_High"
