#Scan#	SpectrumFile	Annotation	OrigAnnotation	Protein	dbIndex	numMods	matchOrientation	startMass	Charge	MQScore	p-value	isDecoy	StrictEnvelopeScore	UnstrictEvelopeScore	CompoundName	Organism	FileScanUniqueID	FDR	LibraryName	mzErrorPPM	LibMetaData	Smiles	Inchi	LibSearchSharedPeaks	Abundance	ParentMassDiff	SpecMZ	ExactMass	LibrarySpectrumID
13810	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:201496	21317	-1	0	458.348	1	0.906552	481.59	0	4431000.0	38916000.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf13810	-1	500_foods_SPECTRUMID2.mgf	1.53138				13	0	0.000701904	458.347	0	
14155	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:207857	28329	-1	0	540.448	1	0.906195	492.67	0	931300.0	32238200.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf14155	-1	500_foods_SPECTRUMID2.mgf	1.24228				10	0	0.000671387	540.447	0	
84	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:412	12936	-1	0	162.007	1	0.906053	23.01	0	664400.0	3967880.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf84	-1	500_foods_SPECTRUMID2.mgf	0.753487				5	0	0.00012207	162.007	0	
1437	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:13299	619	-1	0	274.176	1	0.904956	60.66	0	1452400.0	171168000.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf1437	-1	500_foods_SPECTRUMID2.mgf	1.22437				6	0	0.000335693	274.176	0	
7844	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:102042	12517	-1	0	378.239	1	0.90477	263.6	0	410700.0	40230500.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf7844	-1	500_foods_SPECTRUMID2.mgf	1.21025				8	0	0.000457764	378.238	0	
17113	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:204826	29089	-1	0	550.628	1	0.904709	569.48	0	158200.0	14990100.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf17113	-1	500_foods_SPECTRUMID2.mgf	0.997617				5	0	0.000549316	550.628	0	
2789	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:148765	30147	-1	0	188.071	1	0.904242	101.17	0	115100.0	288256000.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf2789	-1	500_foods_SPECTRUMID2.mgf	3.1642				5	0	0.000595093	188.07	0	
8760	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:125344	23565	-1	0	482.307	1	0.90407	312.81	0	123300.0	508094000.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf8760	-1	500_foods_SPECTRUMID2.mgf	0.822565				6	0	481.3	482.306	0	
8486	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:119714	8430	-1	0	343.166	1	0.903855	296.26	0	88700.0	83687000.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf8486	-1	500_foods_SPECTRUMID2.mgf	5.15791				5	0	0.00177002	343.165	0	
8610	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:126204	28315	-1	0	540.33	1	0.903781	303.65	0	244700.0	190083000.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf8610	-1	500_foods_SPECTRUMID2.mgf	0.338877				12	0	539.323	540.33	0	
